"52538","52538 Gangelt, Selfkant",5.97171629,51.01118063
"47559",47559 Kranenburg,6.01783185,51.78868210
"52525","52525 Waldfeucht, Heinsberg",6.08869228,51.05400693
"52074",52074 Aachen,6.03633397,50.77375785
"52531",52531 Гњbach-Palenberg,6.10426704,50.92688527
"52511",52511 Geilenkirchen,6.13106489,50.97330779
"52072",52072 Aachen,6.04971524,50.82191833
"47574",47574 Goch,6.12368760,51.69543502
"47533",47533 Kleve,6.12485395,51.80301632
"52134",52134 Herzogenrath,6.09832176,50.86389014
"52076",52076 Aachen,6.14995510,50.71514982
"52064",52064 Aachen,6.07826372,50.76775789
"41372",41372 NiederkrГјchten,6.15424338,51.20483758
"52070",52070 Aachen,6.09622579,50.79383688
"52066",52066 Aachen,6.10445410,50.75762987
"41379",41379 BrГјggen,6.16442092,51.26314538
"52062",52062 Aachen,6.08644479,50.77707715
"41849",41849 Wassenberg,6.14509499,51.11320247
"52146",52146 WГјrselen,6.15070961,50.82721119
"47652",47652 Weeze,6.18234643,51.62110111
"52068",52068 Aachen,6.12591610,50.77978991
"46446",46446 Emmerich am Rhein,6.24842232,51.85014493
"52080",52080 Aachen,6.15965742,50.78790145
"54689","54689 Daleiden, Preischeid u.a.",6.17804562,50.06272816
"47551",47551 Bedburg-Hau,6.20697476,51.75813106
"52078",52078 Aachen,6.16119502,50.75702801
"52477",52477 Alsdorf,6.17548312,50.86861115
"54617",54617 LГјtzkampen,6.16532072,50.14507841
"41844",41844 Wegberg,6.24950094,51.14278688
"52499",52499 Baesweiler,6.18528451,50.91795808
"41836",41836 HГјckelhoven,6.23080081,51.04318683
"54673",54673 Neuerburg u.a.,6.25995524,50.01608429
"41334",41334 Nettetal,6.25028269,51.31643802
"54619",54619 Гњttfeld,6.23479461,50.13340672
"47624",47624 Kevelaer-Twisteden,6.19889924,51.55126069
"52159",52159 Roetgen,6.18328700,50.65837577
"54616",54616 Winterspelt,6.21012310,50.21399382
"52159",52159 Roetgen,6.21516184,50.63606188
"52156",52156 Monschau,6.20862486,50.56306295
"52222",52222 Stolberg (Rhld.),6.21466289,50.78432458
"52159",52159 Roetgen,6.22747362,50.67112517
"52156",52156 Monschau,6.19646263,50.52520688
"52223",52223 Stolberg (Rhld.),6.21896178,50.74519539
"52249",52249 Eschweiler,6.26949214,50.82834130
"47623",47623 Kevelaer-Mitte,6.23234247,51.57910151
"52441",52441 Linnich,6.28217289,50.97597363
"52156",52156 Monschau,6.27593267,50.53893748
"52457",52457 Aldenhoven,6.26191505,50.89822508
"47608",47608 Geldern,6.31050493,51.51848480
"41812",41812 Erkelenz,6.33899717,51.06771565
"52224",52224 Stolberg,6.28499882,50.73887845
"47638",47638 Straelen,6.25940973,51.42888359
"41366",41366 Schwalmtal,6.27146365,51.21835405
"47589",47589 Uedem,6.29358884,51.67617803
"54608",54608 Bleialf,6.30452023,50.23708564
"54675",54675 KГ¶rperich u.a.,6.30534599,49.93248466
"52222",52222 Stolberg (Rhld.),6.21879372,50.77321822
"47546",47546 Kalkar,6.31136883,51.75021532
"54597",54597 Pronsfeld,6.31694256,50.15706324
"54687",54687 Arzfeld,6.27251594,50.08669910
"47625",47625 Kevelaer-Wetten,6.29194003,51.56164121
"47627",47627 Kevelaer-Kervenheim,6.27201043,51.62718404
"47626",47626 Kevelaer-Winnekendonk,6.31517748,51.59361904
"52152",52152 Simmerath,6.32948465,50.61371256
"52156",52156 Monschau,6.24743652,50.59755763
"52152",52152 Simmerath,6.26124418,50.63401273
"41751",41751 Viersen,6.31962026,51.25390829
"52428",52428 JГјlich,6.36874279,50.92827676
"47669",47669 Wachtendonk,6.32630319,51.39947874
