id,latitude,longitude,state
1,39.2995512347,-82.7424871477,WV
2,40.9574834254,-81.4904756827,WV
3,37.6014033742,-81.4904756827,WV
4,39.2995512347,-80.2384642177,WV
5,37.6014033742,-78.9864527527,WV
6,39.2995512347,-77.7344412877,WV
7,30.4200892485,-86.4985215427,FL
8,28.532379574,-85.2465100777,FL
9,30.4200892485,-83.9944986127,FL
10,28.532379574,-82.7424871477,FL
11,24.6552508625,-82.7424871477,FL
12,30.4200892485,-81.4904756827,FL
13,26.6102423243,-81.4904756827,FL
14,28.532379574,-80.2384642177,FL
15,24.6552508625,-80.2384642177,FL
16,26.6102423243,-78.9864527527,FL
17,42.5747973841,-90.2545559376,IL
18,42.5747973841,-87.7505330077,IL
19,40.9574834254,-91.5065674026,IL
20,37.6014033742,-91.5065674026,IL
21,39.2995512347,-90.2545559376,IL
22,40.9574834254,-89.0025444726,IL
23,37.6014033742,-89.0025444726,IL
24,39.2995512347,-87.7505330077,IL
25,40.9574834254,-86.4985215427,IL
26,48.634561012,-97.7666247276,MN
27,45.6866558354,-97.7666247276,MN
28,47.181063596,-96.5146132626,MN
29,44.1512314287,-96.5146132626,MN
30,48.634561012,-95.2626017976,MN
31,45.6866558354,-95.2626017976,MN
32,42.5747973841,-95.2626017976,MN
33,50.0473582571,-94.0105903326,MN
34,47.181063596,-94.0105903326,MN
35,44.1512314287,-94.0105903326,MN
36,48.634561012,-92.7585788676,MN
37,45.6866558354,-92.7585788676,MN
38,42.5747973841,-92.7585788676,MN
39,47.181063596,-91.5065674026,MN
40,44.1512314287,-91.5065674026,MN
41,48.634561012,-90.2545559376,MN
42,47.181063596,-89.0025444726,MN
43,39.2995512347,-80.2384642177,MD
44,39.2995512347,-77.7344412877,MD
45,37.6014033742,-76.4824298227,MD
46,39.2995512347,-75.2304183578,MD
47,37.6014033742,-73.9784068928,MD
48,40.9574834254,-71.4743839628,RI
49,42.5747973841,-72.7263954278,RI
50,42.5747973841,-70.2223724978,RI
51,40.9574834254,-116.5467967024,ID
52,40.9574834254,-114.0427737724,ID
53,40.9574834254,-111.5387508425,ID
54,42.5747973841,-117.7988081674,ID
55,45.6866558354,-117.7988081674,ID
56,48.634561012,-117.7988081674,ID
57,44.1512314287,-116.5467967024,ID
58,47.181063596,-116.5467967024,ID
59,42.5747973841,-115.2947852374,ID
60,45.6866558354,-115.2947852374,ID
61,48.634561012,-115.2947852374,ID
62,44.1512314287,-114.0427737724,ID
63,47.181063596,-114.0427737724,ID
64,45.6866558354,-112.7907623074,ID
65,42.5747973841,-112.7907623074,ID
66,44.1512314287,-111.5387508425,ID
67,42.5747973841,-110.2867393775,ID
68,45.6866558354,-72.7263954278,NH
69,42.5747973841,-72.7263954278,NH
70,44.1512314287,-71.4743839628,NH
71,45.6866558354,-70.2223724978,NH
72,42.5747973841,-70.2223724978,NH
73,35.863591721,-85.2465100777,NC
74,34.0868252297,-83.9944986127,NC
75,35.863591721,-82.7424871477,NC
76,37.6014033742,-81.4904756827,NC
77,34.0868252297,-81.4904756827,NC
78,35.863591721,-80.2384642177,NC
79,37.6014033742,-78.9864527527,NC
80,34.0868252297,-78.9864527527,NC
81,35.863591721,-77.7344412877,NC
82,37.6014033742,-76.4824298227,NC
83,34.0868252297,-76.4824298227,NC
84,35.863591721,-75.2304183578,NC
85,44.1512314287,-73.9784068928,VT
86,45.6866558354,-72.7263954278,VT
87,42.5747973841,-72.7263954278,VT
88,44.1512314287,-71.4743839628,VT
89,40.9574834254,-73.9784068928,CT
90,40.9574834254,-71.4743839628,CT
91,42.5747973841,-72.7263954278,CT
92,37.6014033742,-76.4824298227,DE
93,39.2995512347,-75.2304183578,DE
94,32.2719768289,-110.2867393775,NM
95,35.863591721,-110.2867393775,NM
96,30.4200892485,-109.0347279125,NM
97,32.2719768289,-102.7746705875,NM
98,32.2719768289,-107.7827164475,NM
99,32.2719768289,-105.2786935175,NM
100,34.0868252297,-109.0347279125,NM
101,37.6014033742,-109.0347279125,NM
102,35.863591721,-107.7827164475,NM
103,34.0868252297,-106.5307049825,NM
104,37.6014033742,-106.5307049825,NM
105,35.863591721,-105.2786935175,NM
106,34.0868252297,-104.0266820525,NM
107,37.6014033742,-104.0266820525,NM
108,35.863591721,-102.7746705875,NM
109,37.6014033742,-124.0588654924,CA
110,40.9574834254,-124.0588654924,CA
111,35.863591721,-122.8068540274,CA
112,39.2995512347,-122.8068540274,CA
113,34.0868252297,-121.5548425624,CA
114,37.6014033742,-121.5548425624,CA
115,40.9574834254,-121.5548425624,CA
116,32.2719768289,-120.3028310974,CA
117,35.863591721,-120.3028310974,CA
118,39.2995512347,-120.3028310974,CA
119,34.0868252297,-119.0508196324,CA
120,37.6014033742,-119.0508196324,CA
121,40.9574834254,-119.0508196324,CA
122,32.2719768289,-117.7988081674,CA
123,35.863591721,-117.7988081674,CA
124,34.0868252297,-116.5467967024,CA
125,37.6014033742,-116.5467967024,CA
126,32.2719768289,-115.2947852374,CA
127,35.863591721,-115.2947852374,CA
128,34.0868252297,-114.0427737724,CA
129,42.5747973841,-125.3108769573,CA
